symbol,direction,entry,sl,tp1,pnl,date
SIL.F,long,75.546,35.546,195.546,600.0,2026-02-06
SIL.F,long,77.851,37.851,197.851,600.0,2026-02-09
SIL.F,long,73.447,33.447,193.447,600.0,2026-02-10
SIL.F,long,77.509,37.509,197.509,600.0,2026-02-11
SIL.F,long,77.565,37.565,197.565,600.0,2026-02-12
SIL.F,long,86.998,46.998,206.998,600.0,2026-02-20
SIL.F,long,88.284,48.284,208.284,600.0,2026-02-24
SIL.F,long,82.923,42.923,202.923,600.0,2026-02-25
SIL.F,long,82.633,42.633,202.633,600.0,2026-02-26
SIL.F,long,81.687,41.687,201.687,600.0,2026-02-27
SIL.F,long,83.816,43.816,203.816,600.0,2026-03-02
SIL.F,long,84.032,44.032,204.032,600.0,2026-03-03
SIL.F,long,89.083,49.083,209.083,600.0,2026-03-04
SIL.F,long,85.065,45.065,205.065,600.0,2026-03-05
SIL.F,long,84.67,44.67,204.67,600.0,2026-03-06
SIL.F,long,80.914,40.914,200.914,600.0,2026-03-09
SIL.F,long,80.263,40.263,200.263,600.0,2026-03-10
SIL.F,long,79.53,39.53,199.53,600.0,2026-03-11
SIL.F,long,77.238,37.238,197.238,600.0,2026-03-12
SIL.F,long,70.902,30.902,190.902,600.0,2026-03-13
SIL.F,long,72.661,32.661,192.661,600.0,2026-03-30
SIL.F,long,79.491,39.491,199.491,600.0,2026-04-09
SIL.F,long,81.738,41.738,201.738,600.0,2026-04-13
SIL.F,long,76.411,36.411,196.411,600.0,2026-04-15
SIL.F,long,75.465,35.465,195.465,600.0,2026-04-17
SIL.F,long,76.383,36.383,196.383,600.0,2026-04-20
SIL.F,long,75.003,35.003,195.003,600.0,2026-04-21
SIL.F,long,73.205,33.205,193.205,600.0,2026-04-22
SIL.F,long,71.569,31.569,191.569,600.0,2026-04-23
SIL.F,long,73.534,33.534,193.534,600.0,2026-04-24
MGC.F,long,4300.1001,4290.1001,4330.1001,600.0,2025-12-08
MGC.F,long,4306.7002,4296.7002,4336.7002,600.0,2025-12-09
MGC.F,long,4304.5,4294.5,4334.5,600.0,2025-12-10
MGC.F,long,4347.5,4337.5,4377.5,600.0,2025-12-11
MGC.F,long,4339.5,4329.5,4369.5,600.0,2025-12-12
MGC.F,long,4361.3999,4351.3999,4391.3999,600.0,2025-12-15
MGC.F,long,4444.6001,4434.6001,4474.6001,600.0,2025-12-16
MGC.F,long,4482.7998,4472.7998,4512.7998,600.0,2025-12-17
MGC.F,long,4480.6001,4470.6001,4510.6001,600.0,2025-12-18
MGC.F,long,4529.1001,4519.1001,4559.1001,600.0,2025-12-19
MGC.F,long,4325.1001,4315.1001,4355.1001,600.0,2025-12-22
MGC.F,long,4386.2998,4376.2998,4416.2998,600.0,2025-12-23
MGC.F,long,4341.1001,4331.1001,4371.1001,600.0,2025-12-24
MGC.F,long,4329.6001,4319.6001,4359.6001,600.0,2025-12-26
MGC.F,long,4451.5,4441.5,4481.5,600.0,2025-12-29
MGC.F,long,4496.1001,4486.1001,4526.1001,600.0,2025-12-30
MGC.F,long,4462.5,4452.5,4492.5,600.0,2025-12-31
MGC.F,long,4460.7002,4450.7002,4490.7002,600.0,2026-01-02
MGC.F,long,4500.8999,4490.8999,4530.8999,600.0,2026-01-05
MGC.F,long,4614.7002,4604.7002,4644.7002,600.0,2026-01-06
MGC.F,long,4599.1001,4589.1001,4629.1001,600.0,2026-01-07
MGC.F,long,4635.7002,4625.7002,4665.7002,600.0,2026-01-08
MGC.F,long,4623.7002,4613.7002,4653.7002,600.0,2026-01-09
MGC.F,long,4595.3999,4585.3999,4625.3999,600.0,2026-01-12
MGC.F,long,4765.7998,4755.7998,4795.7998,600.0,2026-01-13
MGC.F,long,4837.5,4827.5,4867.5,600.0,2026-01-14
MGC.F,long,4913.3999,4903.3999,4943.3999,600.0,2026-01-15
MGC.F,long,4979.7002,4969.7002,5009.7002,600.0,2026-01-16
MGC.F,long,5082.6001,5072.6001,5112.6001,600.0,2026-01-21
MGC.F,long,4713.8999,4703.8999,4743.8999,600.0,2026-01-26
MGC.F,long,4622.5,4612.5,4652.5,600.0,2026-01-27
MGC.F,long,4903.7002,4893.7002,4933.7002,600.0,2026-01-28
MGC.F,long,4920.3999,4910.3999,4950.3999,600.0,2026-01-29
MGC.F,long,4861.3999,4851.3999,4891.3999,600.0,2026-01-30
MGC.F,long,4951.2002,4941.2002,4981.2002,600.0,2026-02-02
MGC.F,long,5050.8999,5040.8999,5080.8999,600.0,2026-02-03
MGC.F,long,5003.7998,4993.7998,5033.7998,600.0,2026-02-04
MGC.F,long,5071.6001,5061.6001,5101.6001,600.0,2026-02-05
MGC.F,long,4923.7002,4913.7002,4953.7002,600.0,2026-02-06
MGC.F,long,5022.0,5012.0,5052.0,600.0,2026-02-09
MGC.F,long,4882.8999,4872.8999,4912.8999,600.0,2026-02-10
MGC.F,long,4986.5,4976.5,5016.5,600.0,2026-02-11
MGC.F,long,4975.8999,4965.8999,5005.8999,600.0,2026-02-12
